arena_no,title,champion,related_references,verification_status,highlights,industry,category,speed,quality,security,cost,challenger,video_url_zh,video_url_global,video_cover_image_url,homepage_display_order
1,智能调研报告生成,私部署版：Claude Code + GLM 5 + Metaso,"Claude Code (by Anthropic) GitHub：https://github.com/anthropics/claude-code
Metaso MCP (by 秘塔科技) 文档：https://www.modelscope.cn/mcp/servers/metasota/metaso-search
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",已验证,一周构建1个包含资料搜集、知识整合、报告生成功能的智能调研系统Demo,"信息技术, 金融贸易, 科研教育","服务, 运营, 管理",一周,较高,较高,较优,私部署版：Claude Code +Kimi K2.5/Minimax M2.5/Qwen 3.5 + Metaso,https://www.bilibili.com/video/BV1FxFYzyEk8,https://www.bilibili.com/video/BV1FxFYzyEk8,,2
2,业务看板搭建,云端版：Lovable + Kimi K2.5 + Claude Code,"Lovable首页：https://lovable.dev/
Claude Code (by Anthropic) GitHub：https://github.com/anthropics/claude-code
Kimi-K2.5(by 月之暗面) GitHub：https://github.com/MoonshotAI/Kimi-K2.5",已验证,0技术门槛1-2日内搭建出1个有基础互动能力的业务看板或网站Demo,通用,"服务, 运营, 营销",1~2天,很高,较低,较优,云端版：Lovable + GLM-5/Minimax M2.5/Qwen 3.5 + Claude Code,https://www.bilibili.com/video/BV1qxwXzAEME,https://www.bilibili.com/video/BV1qxwXzAEME,,1
3,文档审核与风控,私部署版：LangChain + GLM 5+ Pydantic + unstructured + Faiss,"LangChain（by LangChain） GitHub：https://github.com/langchain-ai/langchain
Pydantic（by Pydantic） Github: https://github.com/pydantic/pydantic
unstructured（by Unstructured.io） Github : https://github.com/Unstructured-IO/unstructured
Faiss（by Facebook） Github: https://github.com/facebookresearch/faiss
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",已验证,一周构建1个完整性检查与风险评估的文档解析系统Demo,"信息技术, 金融贸易, 能源制造, 行政管理","风控, 管理, 运营",一周,较高,较高,较优,私部署版：LangChain + Kimi K2.5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,,,,3
4,企业演示视频,私部署版：Claude Code + Claude Opus 4.6 + FFmpeg + FunASR + PaddleSpeech,"Claude Code (by Anthropic) GitHub：https://github.com/anthropics/claude-code
FFmpeg 官网：https://www.ffmpeg.org/
FunASR(by 阿里) GitHub：https://github.com/modelscope/FunASR
PaddleSpeech(by 百度) GitHub：https://github.com/PaddlePaddle/PaddleSpeech
Claude Opus 4.6(by Anthropic) GitHub：https://www.anthropic.com/claude/opus",已验证,最快2.5日内生成1个企业级产品或功能简要演示视频,"信息技术, 金融贸易, 科研教育","服务, 营销",1~2天,中等,较高,较优,私部署版：OpenClaw + Claude Opus 4.6  + FFmpeg + Qwen3-ASR + Qwen3-TTS,,,,
5,儿童教育趣味应用,私部署版：BISHENG + GLM 5,"BISHENG(by 毕昇) GitHub：https://github.com/dataelement/bisheng
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",已验证,一周搭建一个儿童教育应用Demo,"科研教育, 文化体育",服务,一周,中等,较高,较优,私部署版：BISHENG + Kimi K2.5/Minimax M2.5/Qwen 3.5,,,,
6,长时间序列预测系统,私部署版：Autogluon + Neuralforecast + EMTSF,"Autogluon （by AWS AI） GitHub: https://github.com/autogluon/autogluon
Neuralforecast （by Nixtla） GitHub: https://github.com/Nixtla/neuralforecast
ETT数据集SOTA 模型：https://arxiv.org/pdf/2510.23396",已验证,一周用低代码快速构建并验证一个面向能源领域的长时间序列预测系统Demo,能源制造,"运营, 风控",一周,中等,较高,较优,寻找攻擂者,,,,
7,智能文档翻译系统,私部署版：Gemini CLI + Gemini 3.1 Pro,"Gemini CLI(by Google) GitHub：https://github.com/google-gemini/gemini-cli
Gemini 3.1 Pro(by Google) 官网：https://deepmind.google/models/gemini/pro/",已验证,一周快速构建1个智能文档翻译Demo,通用,"服务, 运营, 管理",一周,中等,较高,较优,寻找攻擂者,,,,
8,智能合同法审系统,私部署版：BISHENG,BISHENG GitHub：https://github.com/dataelement/bisheng,验证中,一天搭建出基于要素抽取与跨合同规则校验、可配置与溯源的智能合同法审系统Demo,金融贸易,风控,1~2天,中等,较高,较优,寻找攻擂者,,,,
9,通用目标检测系统,私部署版：Ultralytics YOLO （YOLO 11）+ Triton + Perf Analyzer,"Ultralytics YOLO （by Ultralytics） : https://docs.ultralytics.com/models/yolo11/
Triton （by NVIDIA） GitHub : https://github.com/triton-inference-server/server/blob/main/docs/user_guide/model_configuration.md
Perf Analyzer （by NVIDIA） GitHub: https://github.com/triton-inference-server/perf_analyzer",验证中,一周构建1个高精度、含数据流闭环、具备自进化能力的通用目标检测系统Demo,"信息技术, 能源制造, 农林牧渔","运营, 管理, 风控",一周,中等,较高,较优,寻找攻擂者,,,,
10,SQL语言智能生成,私部署版：XiYan-SQL（QwenCoder-32B）,"XiYan-SQL(by 阿里) Github：https://github.com/XGenerationLab/XiYan-SQL
XiYanSQL-QwenCoder(by 阿里) GitHub：https://github.com/XGenerationLab/XiYanSQL-QwenCoder",验证中,快速搭建一个大模型，通过对话生成SQL脚本,信息技术,服务,一周,较高,较高,中等,私部署版：Agentar-Scale-SQL（Agentar-Scale-SQL-Generation-32B）,,,,
11,功能推荐助手,私部署版：Coze + GLM 5,"Coze （by 字节跳动） : https://www.coze.cn/
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",验证中,一周基于低代码构建一个具备主动追问与推荐能力的对话式助手Demo,"信息技术, 科研教育","服务, 运营",一周,较低,较高,较优,私部署版：Coze + Kimi K2.5/Minimax M2.5/Qwen 3.5,,,,
12,智能信贷报告生成系统,私部署版：LangChain + GLM 5,"LangChain（by LangChain） GitHub：https://github.com/langchain-ai/langchain
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",验证中,一周低代码构建具备多源数据整合、合规校验、信贷报告一键生成能力的银行智能信贷系统Demo,金融贸易,"服务, 运营",一周,中等,较高,较优,私部署版：LangChain + Kimi K2.5/GLM-5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,,,,
13,单条产业链图谱,私部署版：LangChain + GLM 5,"LangChain（by LangChain） GitHub：https://github.com/langchain-ai/langchain
GLM-5(by 智谱) GitHub：https://github.com/zai-org/GLM-5",验证中,一周低代码完成单条全国产业链图谱全流程构建,"金融贸易, 能源制造","服务, 运营",一周,中等,较高,较优,私部署版：LangChain + Kimi K2.5/Minimax M2.5/Qwen 3.5  + Pydantic + unstructured + Faiss,,,,
